,id,name,year,AI1302,AI1302_source_title_de,AI1302_source_valid_from,AI1302_source_periodicity,AI1302_source_name,AI1302_source_url
0,10041,"Saarbrücken, Regionalverband",1995,62.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
1,10041,"Saarbrücken, Regionalverband",1995,62.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
2,10041,"Saarbrücken, Regionalverband",2000,60.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
3,10041,"Saarbrücken, Regionalverband",2000,60.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
4,10041,"Saarbrücken, Regionalverband",2005,64.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
5,10041,"Saarbrücken, Regionalverband",2005,64.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
6,10041,"Saarbrücken, Regionalverband",2006,62.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
7,10041,"Saarbrücken, Regionalverband",2006,62.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
8,10041,"Saarbrücken, Regionalverband",2007,67.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
9,10041,"Saarbrücken, Regionalverband",2007,67.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
10,10041,"Saarbrücken, Regionalverband",2008,62.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
11,10041,"Saarbrücken, Regionalverband",2008,62.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
12,10041,"Saarbrücken, Regionalverband",2009,57.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
13,10041,"Saarbrücken, Regionalverband",2009,57.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
14,10041,"Saarbrücken, Regionalverband",2010,54.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
15,10041,"Saarbrücken, Regionalverband",2010,54.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
16,10041,"Saarbrücken, Regionalverband",2011,59.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
17,10041,"Saarbrücken, Regionalverband",2011,59.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
18,10041,"Saarbrücken, Regionalverband",2012,58.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
