id,name,year,AI1302,AI1303,AI1304,AI1305
11000,Berlin,1995,67,167.3,4.1,592.2
11000,Berlin,2000,57.1,135.6,2.6,575
11000,Berlin,2005,47,112.5,2,483.7
11000,Berlin,2006,47.7,114.1,2.2,490.7
11000,Berlin,2007,49.2,132.1,1.6,506.2
11000,Berlin,2008,49.9,134.8,1.6,514.8
11000,Berlin,2009,45.8,122.3,1.4,470.6
11000,Berlin,2010,41.9,110.6,1.3,428.1
11000,Berlin,2011,48.9,121.7,1.6,511.1
11000,Berlin,2012,48.1,119.8,1.3,503
11000,Berlin,2013,45.7,114.9,1.1,480.1
11000,Berlin,2014,47.7,120.2,1.5,506.1
11000,Berlin,2015,48,121,1.4,509.1
11000,Berlin,2016,46.5,117.1,1.6,488.7
11000,Berlin,2017,46,NA,1,483.7
11000,Berlin,2018,46.6,117.9,1.2,500.7
2000,Hamburg,1995,70.8,150.2,2.7,712.1
2000,Hamburg,2000,72.7,131.9,2.4,728.2
2000,Hamburg,2005,64.4,116.7,2.5,641.5
2000,Hamburg,2006,60.6,110.8,1.6,588.2
2000,Hamburg,2007,62.5,134.7,1.7,600.2
2000,Hamburg,2008,63.4,137.3,2.3,603.2
2000,Hamburg,2009,59.1,127.7,1.9,562.8
2000,Hamburg,2010,53.5,114.1,1.2,515.3
2000,Hamburg,2011,59,120,2,569.5
2000,Hamburg,2012,58.2,118.2,1.9,569.6
2000,Hamburg,2013,56.6,115.1,1.5,541.5
2000,Hamburg,2014,57.5,116.5,2.2,563
2000,Hamburg,2015,57.8,116.5,1.1,568
2000,Hamburg,2016,57.4,115.7,1.6,544.8
2000,Hamburg,2017,55.5,NA,1.5,526.4
2000,Hamburg,2018,54.4,108.5,1.6,527.9
5315,"Köln, Kreisfreie Stadt",1995,69.6,132.3,5.1,639.7
5315,"Köln, Kreisfreie Stadt",2000,75.1,134.3,4.7,677.4
5315,"Köln, Kreisfreie Stadt",2005,64,114.8,3,616.6
5315,"Köln, Kreisfreie Stadt",2006,61.1,110.7,2.6,582
5315,"Köln, Kreisfreie Stadt",2007,64,130.4,2.8,615.5
5315,"Köln, Kreisfreie Stadt",2008,60.4,123.4,2,579.2
5315,"Köln, Kreisfreie Stadt",2009,59.3,120.1,1.5,568.2
5315,"Köln, Kreisfreie Stadt",2010,56.5,113.9,2.7,556.7
5315,"Köln, Kreisfreie Stadt",2011,59,117.8,3.2,593.4
5315,"Köln, Kreisfreie Stadt",2012,58,115.4,2.8,561.8
5315,"Köln, Kreisfreie Stadt",2013,54.3,108.2,2.3,544.5
5315,"Köln, Kreisfreie Stadt",2014,54,107.5,2.2,573
5315,"Köln, Kreisfreie Stadt",2015,52.9,104.9,2,549.6
5315,"Köln, Kreisfreie Stadt",2016,57.7,113.7,2.1,603.1
5315,"Köln, Kreisfreie Stadt",2017,56.3,NA,1.6,579.2
5315,"Köln, Kreisfreie Stadt",2018,57.1,110.6,2.9,579.8
6412,"Frankfurt am Main, Kreisfreie Stadt",1995,72.6,144.3,5.4,624.9
6412,"Frankfurt am Main, Kreisfreie Stadt",2000,68.2,119.5,4.8,606.6
6412,"Frankfurt am Main, Kreisfreie Stadt",2005,68.6,117.5,4.3,621.6
6412,"Frankfurt am Main, Kreisfreie Stadt",2006,73,123.5,4,614.4
6412,"Frankfurt am Main, Kreisfreie Stadt",2007,76.1,150.2,3.1,619.4
6412,"Frankfurt am Main, Kreisfreie Stadt",2008,66.7,131.8,3.6,566.9
6412,"Frankfurt am Main, Kreisfreie Stadt",2009,67.1,131.3,3,568
6412,"Frankfurt am Main, Kreisfreie Stadt",2010,62.7,122.7,3.5,510
6412,"Frankfurt am Main, Kreisfreie Stadt",2011,68.6,130.9,2.8,595.8
6412,"Frankfurt am Main, Kreisfreie Stadt",2012,60.7,116.1,2.3,542
6412,"Frankfurt am Main, Kreisfreie Stadt",2013,59.4,114.8,2.7,515.3
6412,"Frankfurt am Main, Kreisfreie Stadt",2014,60.7,118.4,1.6,534.9
6412,"Frankfurt am Main, Kreisfreie Stadt",2015,56.4,110.8,2.2,512.2
6412,"Frankfurt am Main, Kreisfreie Stadt",2016,53.4,104.2,2,499.8
6412,"Frankfurt am Main, Kreisfreie Stadt",2017,51.9,NA,1.6,467.1
6412,"Frankfurt am Main, Kreisfreie Stadt",2018,51.3,99.7,2,475.5
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",1995,56.7,106.5,2.9,495.9
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2000,63.7,107.9,2.6,594.7
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2005,56.8,95.2,2.2,544.4
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2006,56.7,95.2,1.5,529.1
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2007,56.5,110,1.5,535.8
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2008,53.6,104,1,500.2
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2009,48.6,94.9,1.5,467.7
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2010,47.3,92.1,1.5,442.2
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2011,51.9,96.7,2.4,490.3
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2012,53.9,100.2,1.9,494.4
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2013,48.5,90.2,1.2,441
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2014,50,92.2,0.8,475.7
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2015,49.3,90.5,1.3,469.5
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2016,46.2,84.6,1.3,424.4
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2017,45.7,NA,1.6,425.9
8111,"Stuttgart, Landeshauptstadt, Stadtkreis",2018,45.3,82.6,0.6,428.2
9162,"München, Landeshauptstadt",1995,59,101.1,3.5,598.8
9162,"München, Landeshauptstadt",2000,62,94.8,2.7,633.3
9162,"München, Landeshauptstadt",2005,51.9,81.8,1.4,528.3
9162,"München, Landeshauptstadt",2006,51.9,81.9,1.1,530.5
9162,"München, Landeshauptstadt",2007,51,95.8,1.9,538
9162,"München, Landeshauptstadt",2008,48.5,91.4,1.7,477.2
9162,"München, Landeshauptstadt",2009,48,90,1.3,482.5
9162,"München, Landeshauptstadt",2010,44.2,83.9,1.2,435.1
9162,"München, Landeshauptstadt",2011,49,87.6,1.3,493.4
9162,"München, Landeshauptstadt",2012,47.7,85.2,1.1,484.4
9162,"München, Landeshauptstadt",2013,47.4,84.4,1.7,484.9
9162,"München, Landeshauptstadt",2014,46.6,83.2,1.3,484.2
9162,"München, Landeshauptstadt",2015,45.8,81.2,1.3,473.6
9162,"München, Landeshauptstadt",2016,43.9,77,1,457.8
9162,"München, Landeshauptstadt",2017,41.4,NA,1.6,436.7
9162,"München, Landeshauptstadt",2018,44.2,77.2,1.3,470.4
