,id,name,year,AI1303,AI1303_source_title_de,AI1303_source_valid_from,AI1303_source_periodicity,AI1303_source_name,AI1303_source_url
0,10041,"Saarbrücken, Regionalverband",1995,106.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
1,10041,"Saarbrücken, Regionalverband",2000,92.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
2,10041,"Saarbrücken, Regionalverband",2005,95.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
3,10041,"Saarbrücken, Regionalverband",2006,90.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
4,10041,"Saarbrücken, Regionalverband",2007,111.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
5,10041,"Saarbrücken, Regionalverband",2008,102.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
6,10041,"Saarbrücken, Regionalverband",2009,92.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
7,10041,"Saarbrücken, Regionalverband",2010,86.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
8,10041,"Saarbrücken, Regionalverband",2011,91.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
9,10041,"Saarbrücken, Regionalverband",2012,89.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
10,10041,"Saarbrücken, Regionalverband",2013,87.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
11,10041,"Saarbrücken, Regionalverband",2014,88.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
12,10041,"Saarbrücken, Regionalverband",2015,88.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
13,10041,"Saarbrücken, Regionalverband",2016,88.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
14,10041,"Saarbrücken, Regionalverband",2018,83.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
0,10042,"Merzig-Wadern, Landkreis",1995,95.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
1,10042,"Merzig-Wadern, Landkreis",2000,82.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
2,10042,"Merzig-Wadern, Landkreis",2005,82.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
3,10042,"Merzig-Wadern, Landkreis",2006,71.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
4,10042,"Merzig-Wadern, Landkreis",2007,96.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
5,10042,"Merzig-Wadern, Landkreis",2008,83.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
6,10042,"Merzig-Wadern, Landkreis",2009,81.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
7,10042,"Merzig-Wadern, Landkreis",2010,72.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
8,10042,"Merzig-Wadern, Landkreis",2011,73.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
9,10042,"Merzig-Wadern, Landkreis",2012,69.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
10,10042,"Merzig-Wadern, Landkreis",2013,63.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
11,10042,"Merzig-Wadern, Landkreis",2014,64.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
12,10042,"Merzig-Wadern, Landkreis",2015,64.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
13,10042,"Merzig-Wadern, Landkreis",2016,66.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
14,10042,"Merzig-Wadern, Landkreis",2018,64.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
0,10043,"Neunkirchen, Landkreis",1995,93.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
1,10043,"Neunkirchen, Landkreis",2000,82.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
2,10043,"Neunkirchen, Landkreis",2005,86.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
3,10043,"Neunkirchen, Landkreis",2006,81.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
4,10043,"Neunkirchen, Landkreis",2007,98.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
5,10043,"Neunkirchen, Landkreis",2008,91.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
6,10043,"Neunkirchen, Landkreis",2009,92.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
7,10043,"Neunkirchen, Landkreis",2010,80.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
8,10043,"Neunkirchen, Landkreis",2011,77.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
9,10043,"Neunkirchen, Landkreis",2012,82.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
10,10043,"Neunkirchen, Landkreis",2013,78.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
11,10043,"Neunkirchen, Landkreis",2014,75.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
12,10043,"Neunkirchen, Landkreis",2015,70.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
13,10043,"Neunkirchen, Landkreis",2016,73.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
14,10043,"Neunkirchen, Landkreis",2018,67.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
0,10044,"Saarlouis, Landkreis",1995,106.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
1,10044,"Saarlouis, Landkreis",2000,92.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
2,10044,"Saarlouis, Landkreis",2005,86.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
3,10044,"Saarlouis, Landkreis",2006,84.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
4,10044,"Saarlouis, Landkreis",2007,97.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
5,10044,"Saarlouis, Landkreis",2008,90.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
6,10044,"Saarlouis, Landkreis",2009,80.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
7,10044,"Saarlouis, Landkreis",2010,81.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
8,10044,"Saarlouis, Landkreis",2011,77.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
9,10044,"Saarlouis, Landkreis",2012,74.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
10,10044,"Saarlouis, Landkreis",2013,71.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
11,10044,"Saarlouis, Landkreis",2014,74.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
12,10044,"Saarlouis, Landkreis",2015,73.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
13,10044,"Saarlouis, Landkreis",2016,70.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
14,10044,"Saarlouis, Landkreis",2018,62.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
0,10045,Saarpfalz-Kreis,1995,103.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
1,10045,Saarpfalz-Kreis,2000,89.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
2,10045,Saarpfalz-Kreis,2005,94.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
3,10045,Saarpfalz-Kreis,2006,91.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
4,10045,Saarpfalz-Kreis,2007,100.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
5,10045,Saarpfalz-Kreis,2008,96.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
6,10045,Saarpfalz-Kreis,2009,89.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
7,10045,Saarpfalz-Kreis,2010,82.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
8,10045,Saarpfalz-Kreis,2011,84.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
9,10045,Saarpfalz-Kreis,2012,82.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
10,10045,Saarpfalz-Kreis,2013,79.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
11,10045,Saarpfalz-Kreis,2014,78.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
12,10045,Saarpfalz-Kreis,2015,74.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
13,10045,Saarpfalz-Kreis,2016,83.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
14,10045,Saarpfalz-Kreis,2018,74.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
0,10046,"St. Wendel, Landkreis",1995,104.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
1,10046,"St. Wendel, Landkreis",2000,75.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
2,10046,"St. Wendel, Landkreis",2005,76.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
3,10046,"St. Wendel, Landkreis",2006,70.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
4,10046,"St. Wendel, Landkreis",2007,88.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
5,10046,"St. Wendel, Landkreis",2008,74.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
6,10046,"St. Wendel, Landkreis",2009,72.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
7,10046,"St. Wendel, Landkreis",2010,63.4,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
8,10046,"St. Wendel, Landkreis",2011,67.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
9,10046,"St. Wendel, Landkreis",2012,59.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
10,10046,"St. Wendel, Landkreis",2013,61.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
11,10046,"St. Wendel, Landkreis",2014,60.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
12,10046,"St. Wendel, Landkreis",2015,55.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
13,10046,"St. Wendel, Landkreis",2016,58.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
14,10046,"St. Wendel, Landkreis",2018,63.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
0,11000,Berlin,1995,167.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
1,11000,Berlin,2000,135.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
2,11000,Berlin,2005,112.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
3,11000,Berlin,2006,114.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
4,11000,Berlin,2007,132.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
5,11000,Berlin,2008,134.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
6,11000,Berlin,2009,122.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
7,11000,Berlin,2010,110.6,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
8,11000,Berlin,2011,121.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
9,11000,Berlin,2012,119.8,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
10,11000,Berlin,2013,114.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
11,11000,Berlin,2014,120.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
12,11000,Berlin,2015,121.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
13,11000,Berlin,2016,117.1,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
14,11000,Berlin,2018,117.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
0,12051,"Brandenburg an der Havel, Kreisfreie Stadt",1995,154.0,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
1,12051,"Brandenburg an der Havel, Kreisfreie Stadt",2000,97.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
2,12051,"Brandenburg an der Havel, Kreisfreie Stadt",2005,98.5,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
3,12051,"Brandenburg an der Havel, Kreisfreie Stadt",2006,86.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
4,12051,"Brandenburg an der Havel, Kreisfreie Stadt",2007,103.2,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
5,12051,"Brandenburg an der Havel, Kreisfreie Stadt",2008,102.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
6,12051,"Brandenburg an der Havel, Kreisfreie Stadt",2009,95.7,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
7,12051,"Brandenburg an der Havel, Kreisfreie Stadt",2010,91.3,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
8,12051,"Brandenburg an der Havel, Kreisfreie Stadt",2011,91.9,Regionalatlas Deutschland,1995-01-01T00:00:00,JAEHRLICH,99910,
