""	"OBJECTID"	"ULAND"	"UREGBEZ"	"UKREIS"	"UGEMEINDE"	"UJAHR"	"UMONAT"	"USTUNDE"	"UWOCHENTAG"	"UKATEGORIE"	"UART"	"UTYP1"	"ULICHTVERH"	"IstRad"	"IstPKW"	"IstFuss"	"IstKrad"	"IstGkfz"	"IstSonstig"	"LINREFX"	"LINREFY"	"XGCSWGS84"	"YGCSWGS84"	"STRZUSTAND"	"geometry"
"1"	49090	"11"	"0"	"12"	"012"	"2019"	"01"	"13"	"6"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	794062.283751	5835083.82313	13.341464046	52.586085144	"1"	c(794062.283750645, 5835083.82313267, 1.00659999999334)
"2"	49091	"11"	"0"	"03"	"003"	"2019"	"01"	"09"	"5"	"3"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	799130.400684	5832327.41517	13.413562745	52.558615438	"0"	c(799130.400683809, 5832327.41517401, 2.05270000000019)
"3"	49093	"11"	"0"	"12"	"012"	"2019"	"03"	"21"	"6"	"3"	"0"	"1"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	795437.612968	5833549.45426	13.360337789	52.571585883	"0"	c(795437.612967791, 5833549.45425986, 1.00260000000708)
"4"	49136	"11"	"0"	"01"	"001"	"2019"	"01"	"11"	"1"	"3"	"5"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	796921.453279	5827454.8154	13.376720542	52.516147028	"1"	c(796921.453279143, 5827454.81539673, 1.76230000000214)
"5"	49140	"11"	"0"	"02"	"002"	"2019"	"01"	"08"	"4"	"3"	"5"	"3"	"1"	"1"	"1"	"0"	"0"	"0"	"0"	803093.671292	5827633.67789	13.467566528	52.514355202	"1"	c(803093.671292068, 5827633.67788512, 2.74779999999737)
"6"	49160	"11"	"0"	"02"	"002"	"2019"	"01"	"19"	"3"	"3"	"2"	"6"	"2"	"1"	"0"	"0"	"0"	"0"	"0"	802102.722725	5827496.00548	13.452883083	52.513671003	"1"	c(802102.722724799, 5827496.00548075, 0.25789999999688)
"7"	49164	"11"	"0"	"10"	"010"	"2019"	"02"	"10"	"4"	"2"	"5"	"3"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	807954.865148	5828854.3591	13.540107417	52.522572089	"0"	c(807954.86514803, 5828854.3591, 0.782300000006217)
"8"	49183	"11"	"0"	"01"	"001"	"2019"	"01"	"11"	"1"	"3"	"5"	"3"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	796921.546994	5827454.83043	13.376721933	52.516147111	"1"	c(796921.546993767, 5827454.83043187, 1.76240000000689)
"9"	49189	"11"	"0"	"07"	"007"	"2019"	"02"	"12"	"6"	"3"	"5"	"2"	"0"	"1"	"1"	"0"	"0"	"0"	"0"	799228.145135	5816332.37692	13.400640125	52.415188652	"0"	c(799228.145134738, 5816332.37692256, 3.21169999999984)
"10"	49192	"11"	"0"	"03"	"003"	"2019"	"01"	"18"	"6"	"3"	"5"	"3"	"2"	"1"	"1"	"0"	"0"	"0"	"0"	800139.29843	5832459.02574	13.428519437	52.559239979	"1"	c(800139.298430159, 5832459.02574434, 2.32399999999325)
