"","id","name","year","AI1303","AI1302","AI1304","AI1305","VER001","VER002","VER005","VER056"
"1",10,"Saarland",1995,102.6,62.7,6.1,628.4,6803,5094,1288,1709
"2",10,"Saarland",2000,88.2,60,6.1,602.6,6423,4784,1358,1639
"3",10,"Saarland",2005,89.2,64.1,5.2,634.9,6749,5004,1441,1745
"4",10,"Saarland",2006,84.2,61.5,5.3,604.6,6435,4691,1431,1744
"5",10,"Saarland",2007,101.3,65.9,5.9,598,6851,4787,1777,2064
"6",10,"Saarland",2008,92.7,60.9,4.2,575.8,6291,4507,1513,1784
"7",10,"Saarland",2009,86.7,58,4.4,549.9,5953,4304,1454,1649
"8",10,"Saarland",2010,80.2,54.5,4,518.3,5561,4026,1302,1535
"9",10,"Saarland",2011,81.4,57.2,4,556.8,5717,4201,1218,1516
"10",10,"Saarland",2012,79.2,56.3,3.7,532.5,5612,4142,1210,1470
"11",10,"Saarland",2013,76.5,55,3.7,505.5,5457,3860,1352,1597
"12",10,"Saarland",2014,76.9,55.9,2.9,522.5,5536,3970,1311,1566
"13",10,"Saarland",2015,74.9,55.1,3.1,524.5,5463,4013,1192,1450
"14",10,"Saarland",2016,76.4,56.7,3.4,532.2,5647,4071,1290,1576
"15",10,"Saarland",2018,71.4,54.4,3.5,491,5396,3791,0,1605
"16",10,"Saarland",2017,NA,53,4.3,481.6,5279,3732,1264,1547
"17",10,"Saarland",1996,NA,NA,NA,NA,6780,5117,1247,1663
"18",10,"Saarland",1997,NA,NA,NA,NA,6571,5015,1200,1556
"19",10,"Saarland",1998,NA,NA,NA,NA,6786,5189,1274,1597
"20",10,"Saarland",1999,NA,NA,NA,NA,7000,5306,1343,1694
"21",10,"Saarland",2001,NA,NA,NA,NA,6771,4999,1432,1772
"22",10,"Saarland",2002,NA,NA,NA,NA,6726,4988,1431,1738
"23",10,"Saarland",2003,NA,NA,NA,NA,6919,4938,1615,1981
"24",10,"Saarland",2004,NA,NA,NA,NA,6924,4999,1566,1925
"25",11,"Berlin",1995,167.3,67,4.1,592.2,23252,17098,3718,6154
"26",11,"Berlin",2000,135.6,57.1,2.6,575,19324,16186,1421,3138
"27",11,"Berlin",2005,112.5,47,2,483.7,15940,13841,1136,2099
"28",11,"Berlin",2006,114.1,47.7,2.2,490.7,16220,13988,1204,2232
"29",11,"Berlin",2007,132.1,49.2,1.6,506.2,16768,14511,1233,2257
"30",11,"Berlin",2008,134.8,49.9,1.6,514.8,17080,14897,1205,2183
"31",11,"Berlin",2009,122.3,45.8,1.4,470.6,15742,13728,1104,2014
"32",11,"Berlin",2010,110.6,41.9,1.3,428.1,14434,12561,1043,1873
"33",11,"Berlin",2011,121.7,48.9,1.6,511.1,16148,14288,1088,1860
"34",11,"Berlin",2012,119.8,48.1,1.3,503,16117,14266,1036,1851
"35",11,"Berlin",2013,114.9,45.7,1.1,480.1,15545,13773,948,1772
"36",11,"Berlin",2014,120.2,47.7,1.5,506.1,16449,14736,990,1713
"37",11,"Berlin",2015,121,48,1.4,509.1,16793,14976,1143,1817
"38",11,"Berlin",2016,117.1,46.5,1.6,488.7,16513,14686,1032,1827
"39",11,"Berlin",2018,117.9,46.6,1.2,500.7,16908,15122,0,1786
"40",11,"Berlin",2017,NA,46,1,483.7,16532,14493,1233,2039
"41",11,"Berlin",1996,NA,NA,NA,NA,21791,16083,3178,5708
"42",11,"Berlin",1997,NA,NA,NA,NA,21206,16942,2160,4264
"43",11,"Berlin",1998,NA,NA,NA,NA,18788,15494,1539,3294
"44",11,"Berlin",1999,NA,NA,NA,NA,19703,16600,1473,3103
"45",11,"Berlin",2001,NA,NA,NA,NA,17592,14798,1311,2794
"46",11,"Berlin",2002,NA,NA,NA,NA,17211,14573,1174,2638
"47",11,"Berlin",2003,NA,NA,NA,NA,16272,13953,1076,2319
"48",11,"Berlin",2004,NA,NA,NA,NA,16027,13734,1214,2293
"49",12,"Brandenburg",1995,181,99.7,30.2,855.3,25324,16499,6959,8825
"50",12,"Brandenburg",2000,118.7,73.7,16.3,680.9,19178,13830,4290,5348
"51",12,"Brandenburg",2005,80.8,54.2,10.5,504,13888,10307,2899,3581
"52",12,"Brandenburg",2006,75.2,51.2,10.3,483,13068,9854,2584,3214
"53",12,"Brandenburg",2007,82.9,50.2,10.4,469.3,12768,9581,2556,3187
"54",12,"Brandenburg",2008,76.5,46.8,8.8,421.8,11837,8690,2608,3147
"55",12,"Brandenburg",2009,75.3,46.9,8,425,11805,8613,2695,3192
"56",12,"Brandenburg",2010,80.8,51.1,7.7,411.5,12809,8179,4138,4630
"57",12,"Brandenburg",2011,73.4,47.9,7.6,420.2,11765,8395,2922,3370
"58",12,"Brandenburg",2012,74.2,48.9,6.8,421.3,11984,8280,3262,3704
"59",12,"Brandenburg",2013,74,49.2,6.9,420.1,12059,8225,3374,3834
"60",12,"Brandenburg",2014,70.6,47.4,5.7,438.4,11641,8419,2756,3222
"61",12,"Brandenburg",2015,69.4,47,7.2,438,11617,8579,2609,3038
"62",12,"Brandenburg",2016,73,49.9,4.9,454.9,12429,8965,2999,3464
